Zip Code,City,State,Representative
99501,Anchorage,Alaska,"Don Young (link is external),"
99502,Anchorage,Alaska,"Don Young (link is external),"
99503,Anchorage,Alaska,"Don Young (link is external),"
99504,Anchorage,Alaska,"Don Young (link is external),"
99505,Anchorage,Alaska,"Don Young (link is external),"
99506,Anchorage,Alaska,"Don Young (link is external),"
99507,Anchorage,Alaska,"Don Young (link is external),"
99508,Anchorage,Alaska,"Don Young (link is external),"
99509,Anchorage,Alaska,"Don Young (link is external),"
99510,Anchorage,Alaska,"Don Young (link is external),"
99511,Anchorage,Alaska,"Don Young (link is external),"
99513,Anchorage,Alaska,"Don Young (link is external),"
99514,Anchorage,Alaska,"Don Young (link is external),"
99515,Anchorage,Alaska,"Don Young (link is external),"
99516,Anchorage,Alaska,"Don Young (link is external),"
99517,Anchorage,Alaska,"Don Young (link is external),"
99518,Anchorage,Alaska,"Don Young (link is external),"
99519,Anchorage,Alaska,"Don Young (link is external),"
99520,Anchorage,Alaska,"Don Young (link is external),"
99521,Anchorage,Alaska,"Don Young (link is external),"
99522,Anchorage,Alaska,"Don Young (link is external),"
99523,Anchorage,Alaska,"Don Young (link is external),"
99524,Anchorage,Alaska,"Don Young (link is external),"
99529,Anchorage,Alaska,"Don Young (link is external),"
99530,Anchorage,Alaska,"Don Young (link is external),"
99540,Anchorage,Alaska,"Don Young (link is external),"
99545,Bethel,Alaska,"Don Young (link is external),"
99546,Aleutians West,Alaska,"Don Young (link is external),"
99547,Aleutians West,Alaska,"Don Young (link is external),"
99548,Lake And Peninsula,Alaska,"Don Young (link is external),"
99549,Lake And Peninsula,Alaska,"Don Young (link is external),"
99550,Kodiak Island,Alaska,"Don Young (link is external),"
99551,Bethel,Alaska,"Don Young (link is external),"
99552,Bethel,Alaska,"Don Young (link is external),"
99553,Aleutians East,Alaska,"Don Young (link is external),"
99554,Wade Hampton,Alaska,"Don Young (link is external),"
99555,Dillingham,Alaska,"Don Young (link is external),"
99556,Kenai Peninsula,Alaska,"Don Young (link is external),"
99557,Bethel,Alaska,"Don Young (link is external),"
99558,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99559,Bethel,Alaska,"Don Young (link is external),"
99561,Bethel,Alaska,"Don Young (link is external),"
99563,Wade Hampton,Alaska,"Don Young (link is external),"
99564,Lake And Peninsula,Alaska,"Don Young (link is external),"
99565,Lake And Peninsula,Alaska,"Don Young (link is external),"
99566,Valdez Cordova,Alaska,"Don Young (link is external),"
99567,Anchorage,Alaska,"Don Young (link is external),"
99568,Kenai Peninsula,Alaska,"Don Young (link is external),"
99569,Dillingham,Alaska,"Don Young (link is external),"
99571,Aleutians East,Alaska,"Don Young (link is external),"
99572,Kenai Peninsula,Alaska,"Don Young (link is external),"
99573,Valdez Cordova,Alaska,"Don Young (link is external),"
99574,Valdez Cordova,Alaska,"Don Young (link is external),"
99575,Bethel,Alaska,"Don Young (link is external),"
99576,Dillingham,Alaska,"Don Young (link is external),"
99577,Anchorage,Alaska,"Don Young (link is external),"
99578,Bethel,Alaska,"Don Young (link is external),"
99579,Lake And Peninsula,Alaska,"Don Young (link is external),"
99580,Dillingham,Alaska,"Don Young (link is external),"
99581,Wade Hampton,Alaska,"Don Young (link is external),"
99583,Aleutians East,Alaska,"Don Young (link is external),"
99585,Wade Hampton,Alaska,"Don Young (link is external),"
99586,Valdez Cordova,Alaska,"Don Young (link is external),"
99587,Anchorage,Alaska,"Don Young (link is external),"
99588,Valdez Cordova,Alaska,"Don Young (link is external),"
99589,Bethel,Alaska,"Don Young (link is external),"
99590,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99591,Aleutians West,Alaska,"Don Young (link is external),"
99599,Anchorage,Alaska,"Don Young (link is external),"
99602,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99603,Kenai Peninsula,Alaska,"Don Young (link is external),"
99604,Wade Hampton,Alaska,"Don Young (link is external),"
99605,Kenai Peninsula,Alaska,"Don Young (link is external),"
99606,Lake And Peninsula,Alaska,"Don Young (link is external),"
99607,Bethel,Alaska,"Don Young (link is external),"
99608,Kodiak Island,Alaska,"Don Young (link is external),"
99609,Bethel,Alaska,"Don Young (link is external),"
99610,Kenai Peninsula,Alaska,"Don Young (link is external),"
99611,Kenai Peninsula,Alaska,"Don Young (link is external),"
99612,Aleutians East,Alaska,"Don Young (link is external),"
99613,Bristol Bay,Alaska,"Don Young (link is external),"
99614,Bethel,Alaska,"Don Young (link is external),"
99615,Kodiak Island,Alaska,"Don Young (link is external),"
99619,Kodiak Island,Alaska,"Don Young (link is external),"
99620,Wade Hampton,Alaska,"Don Young (link is external),"
99621,Bethel,Alaska,"Don Young (link is external),"
99622,Bethel,Alaska,"Don Young (link is external),"
99624,Kodiak Island,Alaska,"Don Young (link is external),"
99625,Lake And Peninsula,Alaska,"Don Young (link is external),"
99626,Bethel,Alaska,"Don Young (link is external),"
99627,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99628,Dillingham,Alaska,"Don Young (link is external),"
99629,Matanuska Susitna,Alaska,"Don Young (link is external),"
99630,Bethel,Alaska,"Don Young (link is external),"
99631,Kenai Peninsula,Alaska,"Don Young (link is external),"
99632,Wade Hampton,Alaska,"Don Young (link is external),"
99633,Bristol Bay,Alaska,"Don Young (link is external),"
99634,Bethel,Alaska,"Don Young (link is external),"
99635,Kenai Peninsula,Alaska,"Don Young (link is external),"
99636,Dillingham,Alaska,"Don Young (link is external),"
99637,Bethel,Alaska,"Don Young (link is external),"
99638,Aleutians West,Alaska,"Don Young (link is external),"
99639,Kenai Peninsula,Alaska,"Don Young (link is external),"
99640,Lake And Peninsula,Alaska,"Don Young (link is external),"
99641,Bethel,Alaska,"Don Young (link is external),"
99643,Kodiak Island,Alaska,"Don Young (link is external),"
99644,Kodiak Island,Alaska,"Don Young (link is external),"
99645,Matanuska Susitna,Alaska,"Don Young (link is external),"
99647,Lake And Peninsula,Alaska,"Don Young (link is external),"
99648,Lake And Peninsula,Alaska,"Don Young (link is external),"
99649,Lake And Peninsula,Alaska,"Don Young (link is external),"
99650,Wade Hampton,Alaska,"Don Young (link is external),"
99651,Bethel,Alaska,"Don Young (link is external),"
99652,Matanuska Susitna,Alaska,"Don Young (link is external),"
99653,Lake And Peninsula,Alaska,"Don Young (link is external),"
99654,Matanuska Susitna,Alaska,"Don Young (link is external),"
99655,Bethel,Alaska,"Don Young (link is external),"
99656,Bethel,Alaska,"Don Young (link is external),"
99657,Wade Hampton,Alaska,"Don Young (link is external),"
99658,Wade Hampton,Alaska,"Don Young (link is external),"
99659,Nome,Alaska,"Don Young (link is external),"
99660,Aleutians West,Alaska,"Don Young (link is external),"
99661,Aleutians East,Alaska,"Don Young (link is external),"
99662,Wade Hampton,Alaska,"Don Young (link is external),"
99663,Kenai Peninsula,Alaska,"Don Young (link is external),"
99664,Kenai Peninsula,Alaska,"Don Young (link is external),"
99665,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99666,Wade Hampton,Alaska,"Don Young (link is external),"
99667,Matanuska Susitna,Alaska,"Don Young (link is external),"
99668,Bethel,Alaska,"Don Young (link is external),"
99669,Kenai Peninsula,Alaska,"Don Young (link is external),"
99670,Bristol Bay,Alaska,"Don Young (link is external),"
99671,Nome,Alaska,"Don Young (link is external),"
99672,Kenai Peninsula,Alaska,"Don Young (link is external),"
99674,Matanuska Susitna,Alaska,"Don Young (link is external),"
99675,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99676,Matanuska Susitna,Alaska,"Don Young (link is external),"
99677,Valdez Cordova,Alaska,"Don Young (link is external),"
99678,Dillingham,Alaska,"Don Young (link is external),"
99679,Bethel,Alaska,"Don Young (link is external),"
99680,Bethel,Alaska,"Don Young (link is external),"
99681,Bethel,Alaska,"Don Young (link is external),"
99682,Kenai Peninsula,Alaska,"Don Young (link is external),"
99683,Matanuska Susitna,Alaska,"Don Young (link is external),"
99684,Nome,Alaska,"Don Young (link is external),"
99685,Aleutians West,Alaska,"Don Young (link is external),"
99686,Valdez Cordova,Alaska,"Don Young (link is external),"
99687,Matanuska Susitna,Alaska,"Don Young (link is external),"
99688,Matanuska Susitna,Alaska,"Don Young (link is external),"
99689,Yakutat,Alaska,"Don Young (link is external),"
99690,Bethel,Alaska,"Don Young (link is external),"
99691,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99692,Aleutians West,Alaska,"Don Young (link is external),"
99693,Valdez Cordova,Alaska,"Don Young (link is external),"
