Zip Code,City,State,Representative
99501,Anchorage,Alaska,"Don Young"
99502,Anchorage,Alaska,"Don Young"
99503,Anchorage,Alaska,"Don Young"
99504,Anchorage,Alaska,"Don Young"
99505,Anchorage,Alaska,"Don Young"
99506,Anchorage,Alaska,"Don Young"
99507,Anchorage,Alaska,"Don Young"
99508,Anchorage,Alaska,"Don Young"
99509,Anchorage,Alaska,"Don Young"
99510,Anchorage,Alaska,"Don Young"
99511,Anchorage,Alaska,"Don Young"
99513,Anchorage,Alaska,"Don Young"
99514,Anchorage,Alaska,"Don Young"
99515,Anchorage,Alaska,"Don Young"
99516,Anchorage,Alaska,"Don Young"
99517,Anchorage,Alaska,"Don Young"
99518,Anchorage,Alaska,"Don Young"
99519,Anchorage,Alaska,"Don Young"
99520,Anchorage,Alaska,"Don Young"
99521,Anchorage,Alaska,"Don Young"
99522,Anchorage,Alaska,"Don Young"
99523,Anchorage,Alaska,"Don Young"
99524,Anchorage,Alaska,"Don Young"
99529,Anchorage,Alaska,"Don Young"
99530,Anchorage,Alaska,"Don Young"
99540,Anchorage,Alaska,"Don Young"
99545,Bethel,Alaska,"Don Young"
99546,Aleutians West,Alaska,"Don Young"
99547,Aleutians West,Alaska,"Don Young"
99548,Lake And Peninsula,Alaska,"Don Young"
99549,Lake And Peninsula,Alaska,"Don Young"
99550,Kodiak Island,Alaska,"Don Young"
99551,Bethel,Alaska,"Don Young"
99552,Bethel,Alaska,"Don Young"
99553,Aleutians East,Alaska,"Don Young"
99554,Wade Hampton,Alaska,"Don Young"
99555,Dillingham,Alaska,"Don Young"
99556,Kenai Peninsula,Alaska,"Don Young"
99557,Bethel,Alaska,"Don Young"
99558,Yukon Koyukuk,Alaska,"Don Young"
99559,Bethel,Alaska,"Don Young"
99561,Bethel,Alaska,"Don Young"
99563,Wade Hampton,Alaska,"Don Young"
99564,Lake And Peninsula,Alaska,"Don Young"
99565,Lake And Peninsula,Alaska,"Don Young"
99566,Valdez Cordova,Alaska,"Don Young"
99567,Anchorage,Alaska,"Don Young"
99568,Kenai Peninsula,Alaska,"Don Young"
99569,Dillingham,Alaska,"Don Young"
99571,Aleutians East,Alaska,"Don Young"
99572,Kenai Peninsula,Alaska,"Don Young"
99573,Valdez Cordova,Alaska,"Don Young"
99574,Valdez Cordova,Alaska,"Don Young"
99575,Bethel,Alaska,"Don Young"
99576,Dillingham,Alaska,"Don Young"
99577,Anchorage,Alaska,"Don Young"
99578,Bethel,Alaska,"Don Young"
99579,Lake And Peninsula,Alaska,"Don Young"
99580,Dillingham,Alaska,"Don Young"
99581,Wade Hampton,Alaska,"Don Young"
99583,Aleutians East,Alaska,"Don Young"
99585,Wade Hampton,Alaska,"Don Young"
99586,Valdez Cordova,Alaska,"Don Young"
99587,Anchorage,Alaska,"Don Young"
99588,Valdez Cordova,Alaska,"Don Young"
99589,Bethel,Alaska,"Don Young"
99590,Yukon Koyukuk,Alaska,"Don Young"
99591,Aleutians West,Alaska,"Don Young"
99599,Anchorage,Alaska,"Don Young"
99602,Yukon Koyukuk,Alaska,"Don Young"
99603,Kenai Peninsula,Alaska,"Don Young"
99604,Wade Hampton,Alaska,"Don Young"
99605,Kenai Peninsula,Alaska,"Don Young"
99606,Lake And Peninsula,Alaska,"Don Young"
99607,Bethel,Alaska,"Don Young"
99608,Kodiak Island,Alaska,"Don Young"
99609,Bethel,Alaska,"Don Young"
99610,Kenai Peninsula,Alaska,"Don Young"
99611,Kenai Peninsula,Alaska,"Don Young"
99612,Aleutians East,Alaska,"Don Young"
99613,Bristol Bay,Alaska,"Don Young"
99614,Bethel,Alaska,"Don Young"
99615,Kodiak Island,Alaska,"Don Young"
99619,Kodiak Island,Alaska,"Don Young"
99620,Wade Hampton,Alaska,"Don Young"
99621,Bethel,Alaska,"Don Young"
99622,Bethel,Alaska,"Don Young"
